	phenotype
2724	I
2725	I
2726	I
2727	I
2728	P
2729	E
2730	E
2731	M
2732	E
2733	M
2734	I
2735	I
2736	I
2737	I
2738	P
2739	I
2740	I
2741	I
2742	I
2743	I
2744	I
2745	P
2746	P
2747	Exh
2748	P
2749	I
2750	I
2751	P
2752	I
2753	E
2754	I
2755	I
2756	P
2757	P
2758	I
2759	M
2760	P
2761	M
2762	I
2763	I
2764	I
2765	I
2766	I
2767	M
2768	I
2769	I
2770	I
2771	I
2772	I
2773	I
2774	M
2775	E
2776	P
2777	M
2778	I
2779	P
2780	I
2781	I
2782	I
2783	E
2784	E
2785	I
2786	Exh
2787	E
2788	I
2789	P
2790	M
2791	I
2792	Exh
2793	P
2794	I
2795	I
2796	I
2797	I
2798	E
2799	M
2800	I
2801	I
2802	I
2803	Exh
2804	E
2805	E
2806	I
2807	I
2808	M
2809	I
2810	M
2811	E
2812	M
2813	I
2814	I
2815	E
2816	I
2817	I
2818	P
2819	E
2820	I
2821	P
2822	I
2823	I
2824	P
2825	I
2826	Exh
2827	I
2828	E
2829	M
2830	Exh
2831	E
2832	Exh
2833	P
2834	Exh
2835	M
2836	I
2837	M
2838	E
2839	M
2840	I
2841	Exh
2842	P
2843	M
2844	I
2845	I
2846	I
2847	I
2848	M
2849	I
2850	I
2851	I
2852	P
2853	E
2854	I
2855	I
2856	I
2857	Exh
2858	I
2859	I
2860	I
2861	P
2862	I
2863	I
2864	I
2865	Exh
2866	I
2867	I
2868	I
2869	Exh
2870	I
2871	M
2872	I
2873	I
2874	P
2875	P
2876	I
2877	I
2878	Exh
2879	I
2880	Exh
2881	Exh
2882	I
2883	P
2884	E
2885	Exh
2886	E
2887	I
2888	I
2889	I
2890	I
2891	E
2892	E
2893	I
2894	I
2895	E
2896	I
2897	M
2898	Exh
2899	I
2900	Exh
2901	Exh
2902	Exh
2903	I
2904	I
2905	I
2906	I
2907	I
2908	I
2909	I
2910	I
2911	I
2912	I
2913	I
2914	P
2915	I
2916	Exh
2917	I
2918	P
2919	I
2920	M
2921	I
