	factor_1	factor_2	factor_3
BIRC3	0.0	0.0	0.0
NCAM1	0.0	0.0	0.0
ZBTB16	0.0	0.0	0.0
AP000462.3	0.0	0.0	0.0
CD3E	0.0	0.0	0.0
CD3G	0.0	0.0	0.0
PHLDB1	0.0	0.0	0.0
CXCR5	0.0	0.0	0.0
UPK2	0.0	0.0	0.0
NRGN	0.0	0.0	0.0
TMEM45B	0.0	0.0	0.0
APLP2	0.0	0.0	0.0
ZBTB44-DT	0.0	0.0	0.0
NTM	0.0	0.0	0.0
LINC02731	0.0	0.0	0.0
JAM3	0.0	0.0	0.0
AP001775.2	0.0	0.0	0.0
RAD52	0.0	0.0	0.0
CACNA1C-AS1	0.0	0.0	0.0
TEX52	0.0	0.0	0.0
ACRBP	0.0	0.0	0.0
PIANP	0.0	0.0	0.0
AC018653.3	0.0	0.0	0.0
AC018653.4	0.0	0.0	0.0
CLEC4C	0.0	0.0	0.0
SLC2A3	0.0	0.0	0.0
CLEC4E	0.0	0.0	0.0
AC092746.1	0.0	0.0	0.0
AICDA	0.0	0.0	0.0
KLRB1	0.0	0.0	0.0
AC010186.1	0.0	0.0	0.0
CD69	0.0	0.0	0.0
CLEC1B	0.0	0.0	0.0
CLEC7A	0.0	0.0	0.0
KLRK1	0.0	0.0	0.0
KLRC4	0.0	0.0	0.0
KLRC3	0.0	0.0	0.0
KLRC2	0.0	0.0	0.0
KLRC1	0.0	0.0	0.0
YBX3	0.0	0.0	0.0
LRP6	0.0	0.0	0.0
PLBD1	0.0	0.0	0.0
GUCY2C	0.0	0.0	0.0
LDHB	0.0	0.0	0.0
KCNJ8	0.0	0.0	0.0
ST8SIA1	0.0	0.0	0.0
AC087318.1	0.0	0.0	0.0
SOX5	0.0	0.0	0.0
AC023510.2	0.0	0.0	0.0
AC087257.1	0.0	0.0	0.0
AC009511.2	0.0	0.0	0.0
H3F3C	0.0	0.0	0.0
KIF21A	0.0	0.0	0.0
PUS7L	0.0	0.0	0.0
NELL2	0.0	0.0	0.0
AC079950.1	0.0	0.0	0.0
SLC38A1	0.0	0.0	0.0
AC025031.1	0.0	0.0	0.0
PCED1B-AS1	0.0	0.0	0.0
RAPGEF3	0.0	0.0	0.0
AC004801.6	0.0	0.0	0.0
AC024257.5	0.0	0.0	0.0
FKBP11	0.0	0.0	0.0
WNT10B	0.0	0.0	0.0
