	B	B	B	MP	MP	MP	NK	NK	NK
	p	logFC	p_adj	p	logFC	p_adj	p	logFC	p_adj
MT2A									
AC009090.6									
ADGRG1									
ADGRG3									
MMP15									
CMTM2									
PDP2									
TSNAXIP1									
AC126773.6									
DYNLRB2									
ADAD2									
AC092145.1									
AC018695.9									
IRF8									
AC092723.5									
JPH3									
AC126696.2									
AC137932.2									
CPNE7									
ZNF276									
MC1R									
FAM157C									
AC006435.3									
OR3A2									
ATP2A3									
VMO1									
DHX33									
KIAA0753									
CLEC10A									
HES7									
AURKB									
AC005277.2									
CDRT15									
CDRT1									
AC098850.1									
AC104024.4									
RASD1									
AC087164.1									
FOXO3B									
LGALS9B									
AC010761.2									
AC010761.4									
SEZ6									
SLC6A4									
AC011840.2									
OMG									
MYO1D									
SLFN13									
SLFN12L									
SLFN14									
GAS2L2									
MMP28									
AC015849.2									
CCL5									
CCL3									
CCL3L1									
AC243654.1									
HNF1B									
AC006449.2									
AC006441.3									
IKZF3									
GSDMB									
CCR7									
KRTAP4-12									
KRTAP4-6									
HAP1									
P3H4									
CCR10									
LINC00671									
PTGES3L									
AC060780.1									
MEOX1									
ITGA2B									
AC008105.1									
RPRML									
AC002558.3									
AC018521.7									
SKAP1									
AC103702.2									
SAMD14									
AC015909.2									
LINC02071									
MMD									
C17orf67									
AC007114.2									
AC015813.3									
TSPOAP1									
RNF43									
HSF5									
CD79B									
SCN4A									
LRRC37A3									
LINC00469									
CD300E									
AC016888.1									
QRICH2									
MXRA7									
AC016168.2									
LINC01973									
SOCS3									
DNAH17									
TBC1D16									
NPTX1									
AC110285.1									
CD7									
SECTM1									
ZNF750									
AC087392.1									
TRARG1									
SERPINF1									
DPH1									
TM4SF5									
GP1BA									
ALOX12									
ACAP1									
TMEM95									
NLGN2									
CD68									
DNAH2									
CHD3									
NT5M									
AC020558.1									
AC127537.1									
EPN2									
DHRS7B									
AC087294.1									
KCNJ12									
AC005697.2									
RPL23A									
ANKRD13B									
AC005899.5									
AC005899.1									
AC079336.4									
AC084809.1									
CCL2									
CCL7									
CCL8									
FNDC8									
AC015849.1									
AC243829.4									
CCL4									
AC243829.2									
CCL4L2									
AC243830.2									
AC243830.3									
MLLT6									
ZPBP2									
GSDMA									
IGFBP4									
TMEM99									
AC100793.2									
CNTNAP1									
RND2									
ASB16									
GRN									
MEIOC									
CR936218.1									
LRRC37A									
MYL4									
ITGB3									
TBKBP1									
TBX21									
SKAP1-AS1									
HOXB-AS1									
ABI3									
TOM1L1									
STXBP4									
NOG									
MSI2									
OR4D2									
EPX									
PPM1E									
VMP1									
AC080038.2									
RGS9									
AC007448.5									
AC005332.5									
AC005332.2									
AC007780.1									
AC124804.1									
KIF19									
OTOP2									
CDR2L									
SMIM5									
AC087289.5									
CDK3									
AANAT									
AC015802.1									
LINC02080									
LINC00868									
TNRC6C									
TMC8									
BIRC5									
AC022966.2									
AC100788.1									
LINC02078									
CARD14									
AC132872.2									
AC130371.2									
YES1									
AP005900.1									
AP005899.1									
AP001033.1									
AC006238.2									
CHMP1B-AS1									
AP005482.1									
AP005131.5									
AP005131.3									
AC027449.1									
TTC39C-AS1									
AC015961.1									
AC087683.3									
AC120049.1									
LOXHD1									
AC093567.1									
CFAP53									
AC098848.1									
TCF4									
BCL2									
AC009802.1									
DSEL									
GTSCR1									
AC125437.3									
AC104423.1									
AC018445.1									
TYMS									
AP001178.2									
DLGAP1-AS1									
DLGAP1-AS2									
AP002478.1									
DLGAP1-AS3									
RAB31									
GATA6									
TTC39C									
AC025887.2									
AC012123.1									
AC011815.2									
KIAA1328									
AC011139.1									
RNF165									
AC120349.1									
RAB27B									
CDH20									
AC110597.3									
DOK6									
AC091138.1									
AC018413.1									
AC018529.1									
AC124254.2									
AC018445.6									
PLPP2									
PRSS57									
ABHD17A									
GNG7									
TLE2									
KF456478.1									
MATK									
AC011498.3									
AC011491.3									
AC008760.1									
PCP2									
FCER2									
ADAMTS10									
ZNF560									
AC011511.2									
S1PR5									
AP1M2									
ILF3-DT									
AC011442.1									
AC024575.1									
ELAVL3									
ZNF878									
AC020916.1									
RASAL3									
AC020911.3									
AC020917.3									
AC020908.3									
AC010618.2									
UNC13A									
PDE4C									
LRRC25									
TSSK6									
PBX4									
AC011447.3									
ZNF737									
ZNF708									
AC123912.4									
AC139769.2									
AC020905.1									
AC005307.1									
ZNF30-AS1									
FAM187B									
DMKN									
AD000671.3									
TYROBP									
ZNF573									
AC011465.1									
PPP1R14A									
CAPN12									
C19orf47									
HIPK4									
BLVRB									
POU2F2									
AC006213.2									
AC007193.1									
GNG8									
SLC8A2									
ZNF541									
SULT2A1									
CABP5									
FAM83E									
MAMSTR									
TEAD2									
NOSIP									
KLK14									
NKG7									
LIM2									
FPR1									
ZNF665									
AC245052.4									
LILRB3									
LILRA5									
LILRA4									
